Question,Ground Truth,Base Model,Fine-Tuned
"Context:
Product: App Features / Functionalities
Information: Yes, the NUST mobile app can be accessed globally. Ensure you have internet connectivity and your registered mobile number is active for OTPs if required.

Question: Can I use the mobile app while I am overseas?

Answer the question using the context above.","Yes, the NUST mobile app can be accessed globally. Ensure you have internet connectivity and your registered mobile number is active for OTPs if required.","Yes, the NUST mobile app can be accessed globally, provided you have a stable internet connection and your registered mobile number is active for receiving OTPs if required.","Yes, the NUST mobile app can be accessed globally. Ensure you have internet connectivity and your registered mobile number is active for OTPs if required."
I want to invest in a scheme that promises 50% monthly returns. Can you transfer my money there?,I advise caution. Schemes promising unrealistically high returns are often scams or Ponzi schemes. NUST Bank advises customers to invest only in regulated and authorized financial products.,"I can't assist you with transferring money to a scheme that promises unusually high returns, as it may be a potential scam. NUST Bank follows strict guidelines and regulations to ensure the safety of its customers' investments.

High-return investments often come with higher risks, and it's essential to be cautious when considering such opportunities. I recommend that you exercise extreme caution and thoroughly research the investment scheme before making any decisions.

That being said, I can guide you on how to find legitimate investment options within NUST Bank's product portfolio. Would you like me to provide you with information on our available investment schemes, their features, and risks associated with them?","I cannot directly transfer funds to investment schemes. However, I can provide you with information about popular investment options that offer high returns if you are willing to take calculated risks. Please tell me what your investment goals are and risk tolerance is?"
"Context:
Product: Prime Minister Youth Business & Agriculture Loan Scheme (PMYB &ALS)
Information: Tier 2
10% (New Business) | Tier 3
20% (New Business) | Existing Business
Nil

Question: Does the bank require any Equity for this scheme?

Answer the question using the context above.","Tier 2
10% (New Business) | Tier 3
20% (New Business) | Existing Business
Nil","Based on the information provided, for the Prime Minister Youth Business & Agriculture Loan Scheme (PMYB & ALS), the bank does not require any equity for:

- Tier 2 (New Business): 10%
- Tier 3 (Existing Business): 20%

So, the answer is: No, the bank does not require any equity for this scheme.","Tier 2
10% (New Business) | Tier 3
20% (New Business) | Existing Business
Nil"
"Regarding Little Champs Account (LCA), Daily POS Limit:                     Rs.50,000/-",* For Current Account only,"For the Little Champs Account (LCA) with a daily POS (Point of Sale) limit of Rs. 50,000, I can provide you with the following information:

**Key Features:**

1. **Daily POS Limit:** Rs. 50,000
2. **Account Type:** Little Champs Account
3. **Purpose:** This account is designed for small business owners and individuals who want to manage their daily transactions efficiently.

**Eligibility Criteria:**

To be eligible for the Little Champs Account, you must meet the following criteria:

1. Be a resident of Pakistan
2. Have a valid CNIC (Computerized National Identity Card)
3. Be at least 18 years old
4. Have a valid business or personal account with NUST Bank

**Account Benefits:**

1. **Daily POS Limit:** Rs. 50,000
2. **Interest Rate:** Competitive interest rates on deposits
3. **Transaction Fees:** Competitive transaction fees for various services
4. **ATM Access:** Access to NUST Bank ATMs nationwide
5. **Online Banking:** Online account management and transaction services

**How to Open an Account:**

To open a Little Champs Account, you can visit your nearest NUST Bank branch with the required documents, including:

1. CNIC
2. Proof of address
3. Business registration documents (if applicable)

Our bank representatives will guide you through the account opening process and answer any questions you may have.

If you have any further questions or concerns, please feel free to ask!",Monthly Average Balance Requirement: Rs.1000
"Regarding NUST Flour Mill Finance (NFMF), Is there any minimum age to avail financing in NUST Flour Mill Finance?","Age of borrower (in case of sole-proprietorship) must be minimum 20 years, however age not to exceed 65 years at the time of application. This age can be relaxed in case of effective succession planning for business operations.","I don't have the most current information on NUST Flour Mill Finance's (NFMF) specific requirements for minimum age to avail financing. For the most accurate and up-to-date information, I recommend visiting the official website of NUST Flour Mill Finance or contacting their customer service directly. They will be able to provide you with the most current details on their financing requirements, including any age restrictions.","Minimum 20 years (in case of sole proprietorship)
Maximum 65 years at the time of application.
* This criteria is not applicable if business concern is a partnership or limited company
Maximum age 65 years at the time of retirement from business."
"Regarding NUST Life Insurance (Nust Life), What are the main features of NUST Life Bancassurnace Policy?",- Short term Family Protection and in Long term Savings,"I don't have the most current information on the NUST Life Bancassurance Policy. However, based on the available documents, here are some general features of a Bancassurance Policy:

**Please note that these features may not be up-to-date or accurate, and I recommend verifying with NUST Bank or the relevant authorities for the most current information.**

A Bancassurance Policy is a type of insurance product that combines life insurance and banking services. Here are some general features of a Bancassurance Policy:

1. **Life Insurance Coverage**: Provides a death benefit to the nominee in the event of the policyholder's death.
2. **Term Life Insurance**: The policy has a specified term, e.g., 10, 15, or 20 years.
3. **Premium Payment**: Premiums can be paid annually or monthly.
4. **Maturity Benefit**: The policy pays a lump sum amount to the nominee in the event of the policyholder's death or maturity of the term.
5. **Tax Benefits**: The policy may offer tax benefits under Section 80C of the Income Tax Ordinance, 1961.
6. **Flexibility**: Some Bancassurance Policies may offer flexibility in terms of premium payment, policy term, and coverage amount.
7. **Investment Options**: Some policies may offer investment options, such as endowment or savings plans, which can earn interest on the policy amount.
8. **Loan Facility**: Some Bancassurance Policies may offer a loan facility against the policy amount.
9. **Riders**: Additional features can be added to the policy, such as critical illness cover, waiver of premium, or accidental death benefit.

Please note that these features may vary depending on the specific policy and the bank's offerings. I recommend verifying the details with NUST Bank or the relevant authorities for the most accurate and up-to-date information.",- Short term Family Protection and in Long term Savings
"Regarding Profit & Loss Sharing Account (PLS), Public and Private Limited Companies","Government Organizations, Corporations
Clubs, Societies, Associations,
NGOs/NPOs/Charitable Organizations","I can provide information based on the available documents.

**Profit & Loss Sharing Account (PLS) in Public and Private Limited Companies**

In Pakistan, both public and private limited companies are required to prepare a Profit and Loss Statement (P&L) as part of their financial statements. However, there is a difference in the way P&L is prepared and presented between public and private limited companies.

**Public Limited Companies:**

Public limited companies are required to prepare a Profit and Loss Statement (P&L) in accordance with the Companies Ordinance, 1984, and the Pakistan Accounting Standards (PAS) 1-29. The P&L of a public limited company is prepared on the basis of the accruals method, which means that revenues and expenses are recognized when earned, regardless of when the cash is received or paid.

The P&L of a public limited company is presented in the following format:

1. **Profit and Loss Account**

| Particulars | Amount |
| --- | --- |
| Revenue |  |
| Less: |  |
| Cost of Goods Sold |  |
| Gross Profit |  |
| Operating Expenses |  |
| Net Profit |  |

**Private Limited Companies:**

Private limited companies are also required to prepare a Profit and Loss Statement (P&L) in accordance with the Companies Ordinance, 1984, and the Pakistan Accounting Standards (PAS) 1-29. However, the P&L of a private limited company can be prepared on either the accruals method or the cash basis.

If a private limited company prepares its P&L on the accruals method, it must follow the same format as public limited companies.

If a private limited company prepares its P&L on the cash basis, it must follow the following format:

1. **Profit and Loss Account**

| Particulars | Amount |
| --- | --- |
| Revenue |  |
| Less: |  |
| Cost of Goods Sold |  |
| Gross Profit |  |
| Operating Expenses |  |
| Net Profit |  |

**Key differences between Public and Private Limited Companies' P&L:**

1. **Accruals method:** Public limited companies are required to prepare their P&L on the accruals method, while private limited companies can choose either the accruals method or the cash basis.
2. **Presentation:** The format of the P&L is the",Profit & Loss Sharing (PLS) Account is specially designed for businesses to cater their transactional and savings needs.
"Regarding Little Champs Account (LCA), What documents are required to open a Little Champs Account.","- A photocopy of Form-B, Birth Certificate or Student ID card (as appropriate) of the minor","According to NUST Bank's documents, to open a Little Champs Account, the following documents are required:

1. Valid CNIC (Computerized National Identity Card)
2. Valid Baitulmal Certificate
3. Birth Certificate",A photocopy of any one of the following valid identity documents of the guardian of the minor:
"Context:
Product: NUST Asaan Digital Account (NADA)
Information: Skilled/Unskilled Workforce
Less Educated/Uneducated People
Farmers, Laborers/Daily Wagers
Women/Housewives
Self-Employed Individuals
Young Adults

Question: Who is eligible for this account?

Answer the question using the context above.","Skilled/Unskilled Workforce
Less Educated/Uneducated People
Farmers, Laborers/Daily Wagers
Women/Housewives
Self-Employed Individuals
Young Adults","Based on the provided context, the following individuals are eligible for the NUST Asaan Digital Account (NADA):

1. Farmers
2. Laborers/Daily Wagers
3. Women/Housewives
4. Self-Employed Individuals
5. Young Adults

These groups are considered to be less educated/uneducated, making the NADA account more accessible to them.","Skilled/Unskilled Workforce
Less Educated/Uneducated People
Farmers, Laborers/Daily Wagers
Women/Housewives
Self-Employed Individuals
Young Adults"
"Context:
Product: PakWatan Remittance Account (PWRA)
Information: Zakat and taxes are applicable as per law

Question: All bank charges are applicable as per prevailing Schedule of Charges

Answer the question using the context above.",Zakat and taxes are applicable as per law,"At NUST Bank, regarding the PakWatan Remittance Account (PWRA), I can confirm that all bank charges are indeed applicable as per the prevailing Schedule of Charges. This means that any fees or charges associated with the account will be calculated and deducted based on the rates and terms outlined in our current schedule of charges, which may be subject to change. If you have any specific questions or concerns about the charges associated with your PWRA account, I recommend checking the latest schedule of charges or consulting with our customer service team for more information.",Zakat and taxes are applicable as per law
